,UCOR,CUMCO,term,sigma,scale,id
10,0.00705159180133,0.0861429589612,36,0.55146501,1.55103037,3
11,0.00656135153809,0.0861429589612,36,0.55146501,1.55103037,3
12,0.00594429343334,0.0861429589612,36,0.55146501,1.55103037,3
13,0.00528542206278,0.0861429589612,36,0.55146501,1.55103037,3
14,0.00463769232603,0.0861429589612,36,0.55146501,1.55103037,3
15,0.00403116406829,0.0861429589612,36,0.55146501,1.55103037,3
16,0.0034806395685,0.0861429589612,36,0.55146501,1.55103037,3
17,0.0029913013866,0.0861429589612,36,0.55146501,1.55103037,3
18,0.00256260214322,0.0861429589612,36,0.55146501,1.55103037,3
19,0.00219082823824,0.0861429589612,36,0.55146501,1.55103037,3
20,0.00187072724592,0.0861429589612,36,0.55146501,1.55103037,3
21,0.00159650258596,0.0861429589612,36,0.55146501,1.55103037,3
22,0.00136239385804,0.0861429589612,36,0.55146501,1.55103037,3
23,0.00116299293224,0.0861429589612,36,0.55146501,1.55103037,3
24,0.000993395914188,0.0861429589612,36,0.55146501,1.55103037,3
25,0.000849256300408,0.0861429589612,36,0.55146501,1.55103037,3
26,0.000726781129273,0.0861429589612,36,0.55146501,1.55103037,3
27,0.000622696380912,0.0861429589612,36,0.55146501,1.55103037,3
28,0.000534197755429,0.0861429589612,36,0.55146501,1.55103037,3
29,0.000458896459706,0.0861429589612,36,0.55146501,1.55103037,3
30,0.000394765518767,0.0861429589612,36,0.55146501,1.55103037,3
31,0.000340089564103,0.0861429589612,36,0.55146501,1.55103037,3
32,0.00029341948569,0.0861429589612,36,0.55146501,1.55103037,3
33,0.000253532404453,0.0861429589612,36,0.55146501,1.55103037,3
34,0.000219396892103,0.0861429589612,36,0.55146501,1.55103037,3
35,0.000190143083751,0.0861429589612,36,0.55146501,1.55103037,3
0,0.0,0.0842709724154,36,0.55546501,1.55103037,4
1,7.20898055966e-06,0.0842709724154,36,0.55546501,1.55103037,4
2,0.000267811331556,0.0842709724154,36,0.55546501,1.55103037,4
3,0.00115725483977,0.0842709724154,36,0.55546501,1.55103037,4
4,0.00245243939475,0.0842709724154,36,0.55546501,1.55103037,4
5,0.00372952021983,0.0842709724154,36,0.55546501,1.55103037,4
6,0.00472639295058,0.0842709724154,36,0.55546501,1.55103037,4
7,0.00536270618991,0.0842709724154,36,0.55546501,1.55103037,4
8,0.00566415995311,0.0842709724154,36,0.55546501,1.55103037,4
9,0.00569887446705,0.0842709724154,36,0.55546501,1.55103037,4
10,0.0055416584981,0.0842709724154,36,0.55546501,1.55103037,4
11,0.005258241932,0.0842709724154,36,0.55546501,1.55103037,4
12,0.00490044482722,0.0842709724154,36,0.55546501,1.55103037,4
13,0.00450641830206,0.0842709724154,36,0.55546501,1.55103037,4
14,0.00410279741276,0.0842709724154,36,0.55546501,1.55103037,4
15,0.00370725723723,0.0842709724154,36,0.55546501,1.55103037,4
16,0.00333084273173,0.0842709724154,36,0.55546501,1.55103037,4
17,0.00297987073242,0.0842709724154,36,0.55546501,1.55103037,4
18,0.0026573917932,0.0842709724154,36,0.55546501,1.55103037,4
19,0.00236427136739,0.0842709724154,36,0.55546501,1.55103037,4
20,0.00209996765012,0.0842709724154,36,0.55546501,1.55103037,4
21,0.00186307876641,0.0842709724154,36,0.55546501,1.55103037,4
22,0.00165171980389,0.0842709724154,36,0.55546501,1.55103037,4
23,0.00146377699553,0.0842709724154,36,0.55546501,1.55103037,4
24,0.00129707468975,0.0842709724154,36,0.55546501,1.55103037,4
25,0.00114948130987,0.0842709724154,36,0.55546501,1.55103037,4
26,0.00101897323837,0.0842709724154,36,0.55546501,1.55103037,4
27,0.000903670131961,0.0842709724154,36,0.55546501,1.55103037,4
28,0.000801851195003,0.0842709724154,36,0.55546501,1.55103037,4
29,0.000711959065644,0.0842709724154,36,0.55546501,1.55103037,4
30,0.000632595914396,0.0842709724154,36,0.55546501,1.55103037,4
31,0.000562514899032,0.0842709724154,36,0.55546501,1.55103037,4
32,0.000500609095006,0.0842709724154,36,0.55546501,1.55103037,4
33,0.000445899304928,0.0842709724154,36,0.55546501,1.55103037,4
34,0.000397521654346,0.0842709724154,36,0.55546501,1.55103037,4
35,0.000354715539887,0.0842709724154,36,0.55546501,1.55103037,4
0,5.51793894836e-10,0.0836404625223,36,0.56046501,1.55103037,5
1,6.24471149145e-06,0.0836404625223,36,0.56046501,1.55103037,5
2,0.00012725942632,0.0836404625223,36,0.56046501,1.55103037,5
3,0.000572951344752,0.0836404625223,36,0.56046501,1.55103037,5
4,0.00136952806312,0.0836404625223,36,0.56046501,1.55103037,5
5,0.00235000102754,0.0836404625223,36,0.56046501,1.55103037,5
6,0.00331343426594,0.0836404625223,36,0.56046501,1.55103037,5
7,0.00411891441971,0.0836404625223,36,0.56046501,1.55103037,5
8,0.00470112699939,0.0836404625223,36,0.56046501,1.55103037,5
9,0.00505174716592,0.0836404625223,36,0.56046501,1.55103037,5
10,0.00519545429537,0.0836404625223,36,0.56046501,1.55103037,5
11,0.0051712717704,0.0836404625223,36,0.56046501,1.55103037,5
12,0.00502085762667,0.0836404625223,36,0.56046501,1.55103037,5
13,0.00478229595902,0.0836404625223,36,0.56046501,1.55103037,5
